NondistinctPalette,AestheticFavorite,GraphingFavorite,AestheticBoxplot,GraphingBoxplot,AestheticNetwork,GraphingNetwork,Blues1,Blues2,Blues3,sex
winter;shannon,spring,electric,spring,bright,RAINBOW,google,3,5,7,Male
Every pallete contains colors that look reasonably distinct to me,bright,google,bright,RAINBOW,electric,electric,5,7,7,Female
winter;fall;jewel;blues,fall,RAINBOW,bright,blues,RAINBOW,RAINBOW,5,7,5,Female
winter;fall;jewel;blues,bright,RAINBOW,blues,blues,bright,summer,5,5,5,Male
Every pallete contains colors that look reasonably distinct to me,electric,shannon,electric,blues,electric,spring,4,6,7,Female
fall;jewel;shannon,blues,google,blues,summer,winter,summer,5,7,7,Male
jewel;shannon;blues;greys;RAINBOW,winter,bright,google,RAINBOW,winter,electric,5,6,6,Male
blues,summer,bright,bright,bright,bright,bright,5,7,6,Female
blues,summer,bright,summer,bright,spring,bright,5,7,7,Male
greys,spring,blues,spring,blues,electric,winter,5,7,5,Female
Every pallete contains colors that look reasonably distinct to me,winter,fall,fall,winter,electric,RAINBOW,5,7,7,Male
jewel,electric,greys,greys,greys,blues,blues,5,7,6,Female
fall;jewel;blues;greys,bright,RAINBOW,RAINBOW,RAINBOW,summer,RAINBOW,5,6,6,Female
Every pallete contains colors that look reasonably distinct to me,summer,RAINBOW,summer,summer,electric,google,5,7,6,Male
Every pallete contains colors that look reasonably distinct to me,fall,electric,spring,spring,fall,spring,5,6,6,Female
fall;electric;jewel;shannon,winter,greys,electric,greys,bright,google,3,5,4,Female
winter;fall;jewel;shannon;blues;greys,RAINBOW,RAINBOW,summer,summer,winter,summer,5,7,7,Female
winter;spring;shannon;blues;greys,winter,bright,electric,electric,spring,summer,5,7,6,Female
Every pallete contains colors that look reasonably distinct to me,electric,greys,blues,blues,winter,winter,5,7,7,Female
jewel;shannon;blues,bright,bright,summer,bright,winter,RAINBOW,5,7,7,Female
Every pallete contains colors that look reasonably distinct to me,winter,bright,summer,RAINBOW,electric,electric,5,7,7,Female
greys,spring,electric,spring,bright,electric,shannon,5,4,5,Female
Every pallete contains colors that look reasonably distinct to me,spring,summer,blues,blues,winter,winter,5,7,6,Female
blues,blues,electric,greys,spring,winter,shannon,5,6,6,Male
Every pallete contains colors that look reasonably distinct to me,spring,bright,spring,electric,electric,electric,5,7,7,Female
fall;jewel;shannon;blues;greys,winter,jewel,fall,winter,spring,summer,5,7,6,Male
Every pallete contains colors that look reasonably distinct to me,blues,bright,RAINBOW,RAINBOW,summer,spring,5,7,7,Male
jewel;shannon,google,summer,summer,summer,electric,electric,5,7,7,Female
Every pallete contains colors that look reasonably distinct to me,bright,google,electric,bright,electric,bright,5,7,7,Female
spring;summer;google;RAINBOW,spring,summer,summer,summer,winter,electric,3,4,5,Female
greys,winter,bright,RAINBOW,summer,winter,electric,2,3,2,Female
Every pallete contains colors that look reasonably distinct to me,blues,electric,spring,spring,electric,electric,5,4,4,Male
Every pallete contains colors that look reasonably distinct to me,winter,blues,blues,RAINBOW,electric,winter,5,7,7,Female
Every pallete contains colors that look reasonably distinct to me,winter,electric,bright,blues,electric,electric,5,7,7,Female
Every pallete contains colors that look reasonably distinct to me,spring,blues,electric,summer,electric,bright,5,7,9,Female
winter;fall;blues;greys,electric,electric,electric,winter,electric,greys,5,4,5,Female
RAINBOW,spring,google,spring,bright,electric,bright,4,6,6,Female
winter;spring;fall;google;greys,bright,blues,electric,winter,electric,greys,5,6,7,Female
greys,electric,bright,electric,electric,electric,electric,5,7,7,Female
Every pallete contains colors that look reasonably distinct to me,RAINBOW,google,RAINBOW,google,summer,spring,5,7,9,Female
spring;electric;jewel,bright,RAINBOW,google,google,bright,bright,5,7,7,Male
Every pallete contains colors that look reasonably distinct to me,RAINBOW,spring,NA,NA,NA,NA,NA,NA,NA,NA
Every pallete contains colors that look reasonably distinct to me,electric,jewel,electric,bright,shannon,summer,5,7,7,Female
shannon,summer,bright,summer,electric,summer,electric,5,7,8,Male
fall;greys,spring,electric,winter,blues,shannon,google,5,6,9,Male
blues,blues,google,google,google,bright,bright,5,7,8,Female
Every pallete contains colors that look reasonably distinct to me,jewel,summer,summer,summer,electric,summer,5,7,7,Male
greys,shannon,electric,RAINBOW,RAINBOW,bright,greys,5,7,7,Female
fall;shannon;blues;greys,spring,google,spring,RAINBOW,electric,google,5,6,7,Female
Every pallete contains colors that look reasonably distinct to me,winter,bright,shannon,shannon,fall,RAINBOW,5,7,7,Female
Every pallete contains colors that look reasonably distinct to me,bright,electric,summer,bright,shannon,electric,5,7,7,Female
